frame_number,Possession,Passing,InPlay,Goals
29,0.9765625,0.640625,1,0.000261307
30,0.9765625,0.5703125,1,0.000261307
31,0.98046875,0.51171875,1,0.000261307
32,0.984375,0.45703125,1,0.000261307
33,0.984375,0.39453125,1,0.000261307
34,0.98828125,0.33398438,1,0.000261307
35,0.98828125,0.28515625,1,0.000246048
36,0.98828125,0.31835938,1,0.000246048
37,0.98828125,0.32617188,1,0.000246048
38,0.98828125,0.33007812,1,0.000246048
39,0.9921875,0.265625,1,0.000246048
40,0.9921875,0.22265625,1,0.000246048
41,0.9921875,0.19335938,1,0.000246048
42,0.9921875,0.13476562,1,0.000246048
43,0.99609375,0.091308594,1,0.000246048
44,0.99609375,0.06542969,1,0.000246048
45,0.99609375,0.08154297,1,0.000246048
46,0.99609375,0.095214844,1,0.000246048
47,0.99609375,0.10986328,1,0.000246048
48,0.99609375,0.12158203,1,0.000261307
49,0.99609375,0.140625,1,0.000278473
50,0.99609375,0.16601562,1,0.000295639
51,0.99609375,0.17285156,1,0.000314713
52,0.99609375,0.15527344,1,0.000356674
53,0.9921875,0.12158203,1,0.000417709
54,0.9921875,0.09667969,1,0.00050354
55,0.98828125,0.09423828,1,0.000553131
56,0.98828125,0.11425781,1,0.000534058
57,0.984375,0.171875,1,0.000488281
58,0.984375,0.23242188,1,0.000473022
59,0.98046875,0.27734375,1,0.000457764
60,0.984375,0.34570312,1,0.000417709
61,0.984375,0.46679688,1,0.000368118
62,0.98046875,0.5703125,1,0.000314713
63,0.97265625,0.64453125,1,0.000295639
64,0.96484375,0.671875,1,0.000295639
65,0.95703125,0.66796875,0.99609375,0.000295639
66,0.953125,0.71875,0.99609375,0.000278473
67,0.94140625,0.7734375,0.99609375,0.000246048
68,0.921875,0.8125,0.99609375,0.000230789
69,0.87109375,0.8515625,0.99609375,0.000190735
70,0.8671875,0.890625,0.99609375,0.0001688
71,0.875,0.921875,0.99609375,0.00015831
72,0.8515625,0.953125,1,0.000131607
73,0.7734375,0.97265625,1,0.000123024
74,0.796875,0.97265625,1,0.000123024
75,0.828125,0.97265625,1,0.000131607
76,0.796875,0.97265625,1,0.000123024
77,0.69140625,0.96875,1,0.000115871
78,0.59375,0.97265625,0.99609375,0.000108719
79,0.59375,0.96875,0.99609375,0.000108719
80,0.61328125,0.97265625,0.99609375,0.000108719
81,0.63671875,0.96484375,0.99609375,0.000115871
82,0.66015625,0.9609375,0.99609375,0.000123024
